moped_component_id,component_name,component_name_full,component_subtype,component_work_types,type_name,line_geometry,substantial_completion_date,pre_annualized_crash_rate,post_annualized_crash_rate,delta_crash_rate,pre_annualized_fatal_crash_rate,post_annualized_fatal_crash_rate,delta_fatal_crash_rate,pre_annualized_injury_rate,post_annualized_injury_rate,delta_injury_rate,pre_annualized_death_rate,post_annualized_death_rate,delta_death_rate,pre_annualized_cost,post_annualized_cost,delta_comp_cost
2,Signal,Signal - Traffic,Traffic,Modification,Signal - Mod,"LINESTRING (621756.8366993731 3349129.94356965, 621756.7021083959 3349128.577854789, 621756.3037936321 3349127.264733562, 621755.6569725773 3349126.054585892, 621754.7864321683 3349124.993797221, 621753.7256802819 3349124.123197289, 621752.5154250595 3349123.47638059, 621751.202246621 3349123.078028983, 621749.8366767713 3349122.943557775, 621748.4709987341 3349123.077982805, 621747.1578954124 3349123.476348774, 621745.9476645142 3349124.123254845, 621744.8868606432 3349124.993837109, 621744.0163626615 3349126.054522933, 621743.3695261439 3349127.264783843, 621742.971116557 3349128.577899524, 621742.8366074918 3349129.943499332, 621742.9712001665 3349131.309213968, 621743.3695163354 3349132.622334671, 621744.0163382902 3349133.832481593, 621744.8868789552 3349134.893269408, 621745.9476304143 3349135.763868508, 621747.1578845934 3349136.410684522, 621748.4710615303 3349136.809035697, 621749.83662965 3349136.943506796, 621751.2023059884 3349136.809081986, 621752.5154079051 3349136.410716546, 621753.7256379044 3349135.763811221, 621754.7864415195 3349134.893229814, 621755.6569399273 3349133.832544822, 621756.3037774895 3349132.622284597, 621756.7021885766 3349131.309169346, 621756.8366993731 3349129.94356965)",2022-10-10 05:00:00+00:00,0.11953690698594086,NA,NA,0.0,NA,NA,0.03984563566198029,NA,NA,0.0,NA,NA,17412.542784285386,NA,NA
3,Signal,Signal - Traffic,Traffic,Modification,Signal - Mod,"LINESTRING (621800.8777623806 3349002.524927843, 621800.7432693968 3349001.159324447, 621800.3448581623 3348999.846200751, 621799.6980347842 3348998.635939949, 621798.8274864329 3348997.575258974, 621797.7667249474 3348996.704655209, 621796.5565537994 3348996.057835198, 621795.2433611782 3348995.659478819, 621793.8777756327 3348995.525002636, 621792.5120797567 3348995.65953351, 621791.1989607922 3348996.057783845, 621789.9887133949 3348996.704685478, 621788.9279902366 3348997.575264907, 621788.0574783705 3348998.635947512, 621787.4105339091 3348999.846204941, 621787.0122113731 3349001.159320184, 621786.8776948641 3349002.525030269, 621787.012189544 3349003.890633442, 621787.4106021847 3349005.203756612, 621788.0574264606 3349006.414016667, 621788.9279750676 3349007.474696785, 621789.988736127 3349008.345299716, 621791.1989062305 3349008.992119045, 621792.5120973514 3349009.390474991, 621793.8776811645 3349009.524951063, 621795.2433753443 3349009.390420414, 621796.5564929027 3349008.992170603, 621797.766739401 3349008.345269721, 621798.827462306 3349007.474691145, 621799.6979745957 3349006.414009375, 621800.3449201003 3349005.203752629, 621800.7432441404 3349003.890637816, 621800.8777623806 3349002.524927843)",2022-10-10 05:00:00+00:00,0.16799218106207242,NA,NA,0.0,NA,NA,0.11199478737471495,NA,NA,0.0,NA,NA,156960.694505663,NA,NA
4,Intersection,Intersection - Improvement,Improvement,NA,Signal - Mod,"MULTILINESTRING ((621756.1558980751 3349130.601026173, 621756.0213070284 3349129.235311321, 621755.6229922122 3349127.922190118, 621754.9761711243 3349126.712042489, 621754.1056307087 3349125.651253872, 621753.0448788378 3349124.780654004, 621751.8346236532 3349124.13383738, 621750.5214452738 3349123.735485852, 621749.1558755008 3349123.601014725, 621747.7901975586 3349123.735439839, 621746.4770943417 3349124.133805886, 621745.2668635588 3349124.78071203, 621744.2060598057 3349125.651294357, 621743.33556194 3349126.711980233, 621742.6887255344 3349127.922241179, 621742.2903160524 3349129.235356884, 621742.155807076 3349130.600956698, 621742.2903998216 3349131.966671325, 621742.6887160428 3349133.279792001, 621743.3355380283 3349134.489938883, 621744.2060787011 3349135.550726643, 621745.266830146 3349136.421325678, 621746.4770842871 3349137.06814162, 621747.7902611637 3349137.466492715, 621749.1558292055 3349137.60096373, 621750.5215054514 3349137.46653884, 621751.8346072622 3349137.068173319, 621753.0448371461 3349136.421267924, 621754.1056406432 3349135.550686453, 621754.976138935 3349134.490001411, 621755.622976384 3349133.279741148, 621756.0213873688 3349131.966625874, 621756.1558980751 3349130.601026173), (621833.0059268889 3349106.739788687, 621832.8714399001 3349105.374184528, 621832.4731331593 3349104.061060294, 621831.826223853 3349102.85079603, 621830.9556873579 3349101.790111974, 621829.894938859 3349100.919504554, 621828.6847813242 3349100.272680454, 621827.3716024259 3349099.874319715, 621826.0059339801 3349099.739837991, 621824.6403466722 3349099.87436553, 621823.3271424711 3349100.272610621, 621822.1170004056 3349100.919509546, 621821.056188 3349101.790084665, 621820.1856794057 3349102.850875519, 621819.5388342666 3349104.06102138, 621819.1404147237 3349105.374134572, 621819.0059909476 3349106.739845617, 621819.1404796325 3349108.105449553, 621819.5387877795 3349109.418573258, 621820.1856979836 3349110.628836776, 621821.0562347344 3349111.689519976, 621822.1169828096 3349112.560126561, 621823.3271392987 3349113.206949978, 621824.6403166954 3349113.605310285, 621826.0059834099 3349113.739791899, 621827.3715690207 3349113.605264585, 621828.6847718176 3349113.207020017, 621829.8949129855 3349112.560121842, 621830.9557251353 3349111.689547579, 621831.8262341546 3349110.628757557, 621832.4730803369 3349109.41861238, 621832.8715013814 3349108.105499619, 621833.0059268889 3349106.739788687), (621721.87110745 3349029.909277279, 621721.7366051724 3349028.543675114, 621721.3382831928 3349027.23044477, 621720.6913556323 3349026.020298583, 621719.8208034567 3349024.959513213, 621718.7600375625 3349024.089028024, 621717.5498664817 3349023.44210596, 621716.2367709428 3349023.04376011, 621714.8710920978 3349022.909292637, 621713.5054984614 3349023.043723482, 621712.1922885895 3349023.442092875, 621710.9821453905 3349024.089004093, 621709.9213364242 3349024.959479029, 621709.0508332959 3349026.020278468, 621708.4039004674 3349027.230429451, 621708.0055871217 3349028.543658105, 621707.8710819012 3349029.909258052, 621708.0055858773 3349031.274859993, 621708.4039092611 3349032.588089812, 621709.0508377216 3349033.79823525, 621709.921390153 3349034.859019766, 621710.9820594204 3349035.729503051, 621712.19232566 3349036.376425502, 621713.5054196962 3349036.77477092, 621714.8710968111 3349036.909238281, 621716.2366887502 3349036.774807659, 621717.5498972168 3349036.376438792, 621718.7600395172 3349035.729528323, 621719.8208482263 3349034.859054242, 621720.6913517819 3349033.798255636, 621721.3382868873 3349032.587994513, 621721.7366004984 3349031.274877115, 621721.87110745 3349029.909277279), (621799.9083492788 3349003.179166686, 621799.773856187 3349001.813563304, 621799.3754448659 3349000.500439646, 621798.7286214258 3348999.290178901, 621797.8580730394 3348998.229498004, 621796.7973115472 3348997.358894334, 621795.5871404213 3348996.712074428, 621794.2739478509 3348996.313718164, 621792.9083623809 3348996.179242099, 621791.5426666023 3348996.31377309, 621790.2295477565 3348996.71202354, 621789.0193004903 3348997.358925275, 621787.9585774726 3348998.229504795, 621787.0880657537 3348999.290187473, 621786.4411214381 3349000.500444955, 621786.0427990381 3349001.813560232, 621785.9082826544 3349003.179270326, 621786.0427774421 3349004.544873484, 621786.4411901683 3349005.857996617, 621787.0880145074 3349007.068256613, 621787.9585631494 3349008.128936654, 621789.0193242168 3349008.99953949, 621790.2294942983 3349009.646358713, 621791.5426853671 3349010.044714544, 621792.9082691059 3349010.179190499, 621794.2739631872 3349010.04465973, 621795.5870806279 3349009.646409808, 621796.7973269941 3349008.99950882, 621797.8580497572 3349008.128930155, 621798.7285619022 3349007.06824831, 621799.375507261 3349005.857991513, 621799.7738311636 3349004.544876667, 621799.9083492788 3349003.179166686))",2022-10-10 05:00:00+00:00,0.15978775832155412,0.7367005630725272,0.5769128047509731,0.0,0.0,0.0,0.03631539961853503,0.7367005630725272,0.7003851634539922,0.0,0.0,0.0,45437.82800271102,171651.23119589884,126213.40319318781
5,Signal,Signal - Traffic,Traffic,Modification,Signal - Mod,"LINESTRING (621722.7430791555 3349029.364786679, 621722.6085769746 3349027.999184501, 621722.2102550759 3349026.685954123, 621721.5633275742 3349025.475807884, 621720.6927754338 3349024.415022442, 621719.6320095488 3349023.544537169, 621718.4218384533 3349022.897615008, 621717.1087428752 3349022.499269058, 621715.7430639678 3349022.364801477, 621714.3774702494 3349022.499232216, 621713.0642602771 3349022.897601506, 621711.8541169612 3349023.544512631, 621710.7933078725 3349024.414987486, 621709.9228046151 3349025.475786859, 621709.2758716603 3349026.685937793, 621708.8775581934 3349027.999166419, 621708.7430528606 3349029.364766359, 621708.8775567388 3349030.730368313, 621709.2758800427 3349032.043598164, 621709.9228084433 3349033.253743656, 621710.7933608396 3349034.314528241, 621711.8540300977 3349035.185011609, 621713.0642963507 3349035.831934157, 621714.3773904262 3349036.230279678, 621715.7430676024 3349036.364747147, 621717.1086596246 3349036.230316631, 621718.4218681918 3349035.831947867, 621719.6320106088 3349035.18503749, 621720.6928194414 3349034.31456349, 621721.563323124 3349033.253764951, 621722.2102583569 3349032.043503875, 621722.6085720916 3349030.730386506, 621722.7430791555 3349029.364786679)",2022-10-10 05:00:00+00:00,0.15799515421791602,0.7367005630725272,0.5787054088546112,0.0,0.0,0.0,0.022570736316845145,0.7367005630725272,0.714129826755682,0.0,0.0,0.0,30583.34770932517,171651.23119589884,141067.88348657367
7,Signal,Signal - Traffic,Traffic,Modification,Signal - Mod,"LINESTRING (617652.5950659687 3350801.668086397, 617652.4605736404 3350800.302441061, 617652.0622314612 3350798.989262827, 617651.4153678337 3350797.779037347, 617650.544780139 3350796.71836207, 617649.4840841407 3350795.847833306, 617648.2738984304 3350795.200918276, 617646.960704542 3350794.802612779, 617645.595033776 3350794.668091595, 617644.2294485185 3350794.802575908, 617642.9163335824 3350795.200977007, 617641.7060698908 3350795.847765789, 617640.6452888441 3350796.718284025, 617639.7747526891 3350797.779054059, 617639.1278950553 3350798.989314841, 617638.7295550678 3350800.302449202, 617638.5950890232 3350801.668080223, 617638.729583052 3350803.033725337, 617639.1279266377 3350804.346903048, 617639.7747911672 3350805.55712778, 617640.6452829367 3350806.617801165, 617641.7060746956 3350807.488330131, 617642.9162593643 3350808.135244475, 617644.2294517518 3350808.533549538, 617645.5951207847 3350808.668070609, 617646.9607043432 3350808.533586519, 617648.273817873 3350808.135185943, 617649.4840806624 3350807.488397909, 617650.5448614489 3350806.617880529, 617651.4153980287 3350805.557111328, 617652.0622567015 3350804.346851232, 617652.4605981911 3350803.033717306, 617652.5950659687 3350801.668086397)",2024-02-20 06:00:00+00:00,0.1361920298298765,NA,NA,0.0,NA,NA,0.0851200186436728,NA,NA,0.0,NA,NA,31988.10300629224,NA,NA
8,Signal,Signal - Traffic,Traffic,New,Signal - New,"LINESTRING (622140.4340004321 3348879.955444859, 622140.2994523376 3348878.589724274, 622139.9011722426 3348877.276588314, 622139.2542801101 3348876.06641639, 622138.3837543183 3348875.005596978, 622137.3230047411 3348874.135070754, 622136.1127418536 3348873.488211986, 622134.7996398028 3348873.08992688, 622133.4339449788 3348872.955407607, 622132.0683240403 3348873.089897765, 622130.7551752126 3348873.488218977, 622129.5449891204 3348874.135085099, 622128.4842261417 3348875.005632721, 622127.6136698269 3348876.066400344, 622126.9667766151 3348877.276640024, 622126.5685053256 3348878.589745236, 622126.4339468168 3348879.955341526, 622126.5684966088 3348881.321061885, 622126.9667781086 3348882.63419732, 622127.6136711409 3348883.844368496, 622128.4841971884 3348884.905187052, 622129.5449463379 3348885.775712444, 622130.755208182 3348886.422570527, 622132.0683087301 3348886.820855202, 622133.4340018253 3348886.955374362, 622134.7996210665 3348886.820884428, 622136.1127684882 3348886.422563743, 622137.3229536805 3348885.77569837, 622138.3837164061 3348884.905151603, 622139.2542731473 3348883.844384814, 622139.9011674025 3348882.634145817, 622140.2994401937 3348881.321041036, 622140.4340004321 3348879.955444859)",2021-12-31 06:00:00+00:00,0.1787068522641094,0.5234682909351487,0.34476143867103926,0.0,0.0,0.0,0.16083616703769846,0.5234682909351487,0.36263212389745025,0.0,0.0,0.0,57525.73574381682,148664.99462558224,91139.25888176542
9,Signal,Signal - Traffic,Traffic,New,Signal - New,"LINESTRING (622165.9600334299 3348868.713167655, 622165.8254870538 3348867.347557504, 622165.4271132954 3348866.034419472, 622164.7803193888 3348864.824247062, 622163.9096988252 3348863.763424509, 622162.8489500304 3348862.89289579, 622161.6387834491 3348862.246035274, 622160.3255846192 3348861.847746047, 622158.9599847582 3348861.713224699, 622157.5943619695 3348861.847711725, 622156.2812107502 3348862.24602994, 622155.071021817 3348862.892893316, 622154.0102556559 3348863.763438554, 622153.1396959432 3348864.824204237, 622152.4927992448 3348866.034442504, 622152.0945245157 3348867.34754688, 622151.9599615079 3348868.71325377, 622152.0945095812 3348870.078863696, 622152.4928847431 3348871.392001203, 622153.1396795509 3348872.602172866, 622154.0102041678 3348873.662993489, 622155.0710487373 3348874.533522448, 622156.281214275 3348875.180382282, 622157.5944116034 3348875.578671076, 622158.9600097345 3348875.713192312, 622160.3256308261 3348875.578705512, 622161.6387806392 3348875.180387823, 622162.8489686726 3348874.533525193, 622163.9097345794 3348873.662980812, 622164.7802947196 3348872.602215962, 622165.4271924589 3348871.39197838, 622165.8254686908 3348870.078874434, 622165.9600334299 3348868.713167655)",2021-12-31 06:00:00+00:00,0.16412184057031756,0.6754507628294036,0.5113289222590861,0.0,0.0,0.0,0.1073104342190538,0.5403606102635229,0.4330501760444691,0.0,0.0,0.0,39168.30848995464,167241.60887656035,128073.30038660571
10,Signal,Signal - Traffic,Traffic,New,Signal - New,"LINESTRING (629627.3908554614 3362590.817686817, 629627.2563510188 3362589.452019331, 629626.8580121086 3362588.138852848, 629626.2111889424 3362586.928694154, 629625.3406020035 3362585.86794956, 629624.2798801223 3362584.997367548, 629623.0696573105 3362584.350464252, 629621.7565316862 3362583.952180901, 629620.3908700737 3362583.817638357, 629619.0252706594 3362583.95211878, 629617.7120714132 3362584.35048174, 629616.5019061816 3362584.997368683, 629615.4411011903 3362585.867947856, 629614.57060887 3362586.928677522, 629613.9236833835 3362588.13883012, 629613.5253817204 3362589.452038163, 629613.3909144583 3362590.817604743, 629613.5254206053 3362592.183272002, 629613.9237609244 3362593.496437954, 629614.5705849878 3362594.706595892, 629615.4411721785 3362595.767339626, 629616.5018936275 3362596.637920802, 629617.7121153865 3362597.284823412, 629619.0252394988 3362597.683106333, 629620.3908993721 3362597.81764877, 629621.7564970807 3362597.683168573, 629623.069694918 3362597.284806145, 629624.279859251 3362596.637919954, 629625.3406639918 3362595.767341642, 629626.2111567444 3362594.706612813, 629626.8580832836 3362593.496460901, 629627.2563864586 3362592.183253289, 629627.3908554614 3362590.817686817)",2021-12-31 06:00:00+00:00,0.34875258869297615,0.7166058095809036,0.36785322088792743,0.0,0.0,0.0,0.2733466235701705,0.4777372063872691,0.2043905828170986,0.0,0.0,0.0,159577.87369113747,188467.32791977766,28889.454228640185
11,Signal,Signal - Traffic,Traffic,New,Signal - New,"LINESTRING (610359.9934720704 3347000.41750891, 610359.8589647689 3346999.051888891, 610359.4606576001 3346997.738692726, 610358.8138211099 3346996.528504231, 610357.9432936414 3346995.467792023, 610356.8825359615 3346994.597237467, 610355.6722976696 3346993.95039119, 610354.3590945244 3346993.551995201, 610352.993481027 3346993.417522117, 610351.6278486376 3346993.552044608, 610350.3146927733 3346993.950328743, 610349.1044915859 3346994.597255948, 610348.043781644 3346995.467803596, 610347.1732190881 3346996.5284663, 610346.5263143127 3346997.738684028, 610346.1279786774 3346999.051824956, 610345.9935388922 3347000.417503062, 610346.1280478917 3347001.783122864, 610346.526356468 3347003.096318506, 610347.1731938631 3347004.306506258, 610348.0437215966 3347005.36721761, 610349.1044788586 3347006.237771332, 610350.3147161135 3347006.884616923, 610351.6279177626 3347007.283012478, 610352.9935295327 3347007.417485445, 610354.3591602241 3347007.282963175, 610355.6723146797 3347006.884679558, 610356.8825149608 3347006.237753096, 610357.9432246403 3347005.367206305, 610358.8137876141 3347004.306544434, 610359.4606934229 3347003.096327391, 610359.8590305567 3347001.783186898, 610359.9934720704 3347000.41750891)",2022-03-31 05:00:00+00:00,0.22697496180834265,NA,NA,0.0,NA,NA,0.05674374045208566,NA,NA,0.0,NA,NA,36372.737629786905,NA,NA
12,Signal,Signal - Traffic,Traffic,New,Signal - New,"LINESTRING (624085.0248482779 3368646.972053444, 624084.8903459319 3368645.606470969, 624084.4919977441 3368644.293294666, 624083.8451678689 3368643.083134157, 624082.9745858728 3368642.022272368, 624081.9138767321 3368641.151773392, 624080.7036694187 3368640.504911456, 624079.3904508977 3368640.106603596, 624078.0248528067 3368639.972059929, 624076.6592532791 3368640.106534566, 624075.3460534958 3368640.504862525, 624074.1358493231 3368641.15177137, 624073.0751215745 3368642.022298198, 624072.2045883137 3368643.083100941, 624071.5576582843 3368644.293327453, 624071.1593530647 3368645.606487533, 624071.0248476658 3368646.972098934, 624071.1593517221 3368648.337681185, 624071.557701324 3368649.650856957, 624072.2045321021 3368650.861016713, 624073.0751156211 3368651.92176681, 624074.1358230658 3368652.792375777, 624075.3460293262 3368653.439237024, 624076.6592463353 3368653.83754445, 624078.0248426826 3368653.972088004, 624079.3904405 3368653.837613594, 624080.7036401369 3368653.439175336, 624081.9138421376 3368652.792378075, 624082.9745696313 3368651.921852108, 624083.8451033226 3368650.861050203, 624084.4920344027 3368649.650824382, 624084.8903411352 3368648.337664734, 624085.0248482779 3368646.972053444)",2024-04-01 05:00:00+00:00,0.15279268332158874,NA,NA,0.0,NA,NA,0.06548257856639517,NA,NA,0.0,NA,NA,25276.275326628536,NA,NA
