,moped_unique_id,annualized_volume_before,annualized_volume_after,annualized_volume_delta,inrix_id,name,line_geometry,substantial_completion_date,component_name
0,1,1749060.9366295265,0.0,-1749060.9366295265,30.2677_-97.7343,North Interstate 35 & East 8th Street,"MULTILINESTRING ((621721.87110745 3349029.909277279, 621721.7366051724 3349028.543675114, 621721.3382831928 3349027.23044477, 621720.6913556323 3349026.020298583, 621719.8208034567 3349024.959513213, 621718.7600375625 3349024.089028024, 621717.5498664817 3349023.44210596, 621716.2367709428 3349023.04376011, 621714.8710920978 3349022.909292637, 621713.5054984614 3349023.043723482, 621712.1922885895 3349023.442092875, 621710.9821453905 3349024.089004093, 621709.9213364242 3349024.959479029, 621709.0508332959 3349026.020278468, 621708.4039004674 3349027.230429451, 621708.0055871217 3349028.543658105, 621707.8710819012 3349029.909258052, 621708.0055858773 3349031.274859993, 621708.4039092611 3349032.588089812, 621709.0508377216 3349033.79823525, 621709.921390153 3349034.859019766, 621710.9820594204 3349035.729503051, 621712.19232566 3349036.376425502, 621713.5054196962 3349036.77477092, 621714.8710968111 3349036.909238281, 621716.2366887502 3349036.774807659, 621717.5498972168 3349036.376438792, 621718.7600395172 3349035.729528323, 621719.8208482263 3349034.859054242, 621720.6913517819 3349033.798255636, 621721.3382868873 3349032.587994513, 621721.7366004984 3349031.274877115, 621721.87110745 3349029.909277279), (621833.0059268889 3349106.739788687, 621832.8714399001 3349105.374184528, 621832.4731331593 3349104.061060294, 621831.826223853 3349102.85079603, 621830.9556873579 3349101.790111974, 621829.894938859 3349100.919504554, 621828.6847813242 3349100.272680454, 621827.3716024259 3349099.874319715, 621826.0059339801 3349099.739837991, 621824.6403466722 3349099.87436553, 621823.3271424711 3349100.272610621, 621822.1170004056 3349100.919509546, 621821.056188 3349101.790084665, 621820.1856794057 3349102.850875519, 621819.5388342666 3349104.06102138, 621819.1404147237 3349105.374134572, 621819.0059909476 3349106.739845617, 621819.1404796325 3349108.105449553, 621819.5387877795 3349109.418573258, 621820.1856979836 3349110.628836776, 621821.0562347344 3349111.689519976, 621822.1169828096 3349112.560126561, 621823.3271392987 3349113.206949978, 621824.6403166954 3349113.605310285, 621826.0059834099 3349113.739791899, 621827.3715690207 3349113.605264585, 621828.6847718176 3349113.207020017, 621829.8949129855 3349112.560121842, 621830.9557251353 3349111.689547579, 621831.8262341546 3349110.628757557, 621832.4730803369 3349109.41861238, 621832.8715013814 3349108.105499619, 621833.0059268889 3349106.739788687), (621756.1558980751 3349130.601026173, 621756.0213070284 3349129.235311321, 621755.6229922122 3349127.922190118, 621754.9761711243 3349126.712042489, 621754.1056307087 3349125.651253872, 621753.0448788378 3349124.780654004, 621751.8346236532 3349124.13383738, 621750.5214452738 3349123.735485852, 621749.1558755008 3349123.601014725, 621747.7901975586 3349123.735439839, 621746.4770943417 3349124.133805886, 621745.2668635588 3349124.78071203, 621744.2060598057 3349125.651294357, 621743.33556194 3349126.711980233, 621742.6887255344 3349127.922241179, 621742.2903160524 3349129.235356884, 621742.155807076 3349130.600956698, 621742.2903998216 3349131.966671325, 621742.6887160428 3349133.279792001, 621743.3355380283 3349134.489938883, 621744.2060787011 3349135.550726643, 621745.266830146 3349136.421325678, 621746.4770842871 3349137.06814162, 621747.7902611637 3349137.466492715, 621749.1558292055 3349137.60096373, 621750.5215054514 3349137.46653884, 621751.8346072622 3349137.068173319, 621753.0448371461 3349136.421267924, 621754.1056406432 3349135.550686453, 621754.976138935 3349134.490001411, 621755.622976384 3349133.279741148, 621756.0213873688 3349131.966625874, 621756.1558980751 3349130.601026173), (621799.9083492788 3349003.179166686, 621799.773856187 3349001.813563304, 621799.3754448659 3349000.500439646, 621798.7286214258 3348999.290178901, 621797.8580730394 3348998.229498004, 621796.7973115472 3348997.358894334, 621795.5871404213 3348996.712074428, 621794.2739478509 3348996.313718164, 621792.9083623809 3348996.179242099, 621791.5426666023 3348996.31377309, 621790.2295477565 3348996.71202354, 621789.0193004903 3348997.358925275, 621787.9585774726 3348998.229504795, 621787.0880657537 3348999.290187473, 621786.4411214381 3349000.500444955, 621786.0427990381 3349001.813560232, 621785.9082826544 3349003.179270326, 621786.0427774421 3349004.544873484, 621786.4411901683 3349005.857996617, 621787.0880145074 3349007.068256613, 621787.9585631494 3349008.128936654, 621789.0193242168 3349008.99953949, 621790.2294942983 3349009.646358713, 621791.5426853671 3349010.044714544, 621792.9082691059 3349010.179190499, 621794.2739631872 3349010.04465973, 621795.5870806279 3349009.646409808, 621796.7973269941 3349008.99950882, 621797.8580497572 3349008.128930155, 621798.7285619022 3349007.06824831, 621799.375507261 3349005.857991513, 621799.7738311636 3349004.544876667, 621799.9083492788 3349003.179166686))",2022-10-10 05:00:00+00:00,Intersection
1,1,1749060.9366295265,0.0,-1749060.9366295265,30.2666_-97.7339,North Interstate 35 & East 7th Street,"MULTILINESTRING ((621721.87110745 3349029.909277279, 621721.7366051724 3349028.543675114, 621721.3382831928 3349027.23044477, 621720.6913556323 3349026.020298583, 621719.8208034567 3349024.959513213, 621718.7600375625 3349024.089028024, 621717.5498664817 3349023.44210596, 621716.2367709428 3349023.04376011, 621714.8710920978 3349022.909292637, 621713.5054984614 3349023.043723482, 621712.1922885895 3349023.442092875, 621710.9821453905 3349024.089004093, 621709.9213364242 3349024.959479029, 621709.0508332959 3349026.020278468, 621708.4039004674 3349027.230429451, 621708.0055871217 3349028.543658105, 621707.8710819012 3349029.909258052, 621708.0055858773 3349031.274859993, 621708.4039092611 3349032.588089812, 621709.0508377216 3349033.79823525, 621709.921390153 3349034.859019766, 621710.9820594204 3349035.729503051, 621712.19232566 3349036.376425502, 621713.5054196962 3349036.77477092, 621714.8710968111 3349036.909238281, 621716.2366887502 3349036.774807659, 621717.5498972168 3349036.376438792, 621718.7600395172 3349035.729528323, 621719.8208482263 3349034.859054242, 621720.6913517819 3349033.798255636, 621721.3382868873 3349032.587994513, 621721.7366004984 3349031.274877115, 621721.87110745 3349029.909277279), (621833.0059268889 3349106.739788687, 621832.8714399001 3349105.374184528, 621832.4731331593 3349104.061060294, 621831.826223853 3349102.85079603, 621830.9556873579 3349101.790111974, 621829.894938859 3349100.919504554, 621828.6847813242 3349100.272680454, 621827.3716024259 3349099.874319715, 621826.0059339801 3349099.739837991, 621824.6403466722 3349099.87436553, 621823.3271424711 3349100.272610621, 621822.1170004056 3349100.919509546, 621821.056188 3349101.790084665, 621820.1856794057 3349102.850875519, 621819.5388342666 3349104.06102138, 621819.1404147237 3349105.374134572, 621819.0059909476 3349106.739845617, 621819.1404796325 3349108.105449553, 621819.5387877795 3349109.418573258, 621820.1856979836 3349110.628836776, 621821.0562347344 3349111.689519976, 621822.1169828096 3349112.560126561, 621823.3271392987 3349113.206949978, 621824.6403166954 3349113.605310285, 621826.0059834099 3349113.739791899, 621827.3715690207 3349113.605264585, 621828.6847718176 3349113.207020017, 621829.8949129855 3349112.560121842, 621830.9557251353 3349111.689547579, 621831.8262341546 3349110.628757557, 621832.4730803369 3349109.41861238, 621832.8715013814 3349108.105499619, 621833.0059268889 3349106.739788687), (621756.1558980751 3349130.601026173, 621756.0213070284 3349129.235311321, 621755.6229922122 3349127.922190118, 621754.9761711243 3349126.712042489, 621754.1056307087 3349125.651253872, 621753.0448788378 3349124.780654004, 621751.8346236532 3349124.13383738, 621750.5214452738 3349123.735485852, 621749.1558755008 3349123.601014725, 621747.7901975586 3349123.735439839, 621746.4770943417 3349124.133805886, 621745.2668635588 3349124.78071203, 621744.2060598057 3349125.651294357, 621743.33556194 3349126.711980233, 621742.6887255344 3349127.922241179, 621742.2903160524 3349129.235356884, 621742.155807076 3349130.600956698, 621742.2903998216 3349131.966671325, 621742.6887160428 3349133.279792001, 621743.3355380283 3349134.489938883, 621744.2060787011 3349135.550726643, 621745.266830146 3349136.421325678, 621746.4770842871 3349137.06814162, 621747.7902611637 3349137.466492715, 621749.1558292055 3349137.60096373, 621750.5215054514 3349137.46653884, 621751.8346072622 3349137.068173319, 621753.0448371461 3349136.421267924, 621754.1056406432 3349135.550686453, 621754.976138935 3349134.490001411, 621755.622976384 3349133.279741148, 621756.0213873688 3349131.966625874, 621756.1558980751 3349130.601026173), (621799.9083492788 3349003.179166686, 621799.773856187 3349001.813563304, 621799.3754448659 3349000.500439646, 621798.7286214258 3348999.290178901, 621797.8580730394 3348998.229498004, 621796.7973115472 3348997.358894334, 621795.5871404213 3348996.712074428, 621794.2739478509 3348996.313718164, 621792.9083623809 3348996.179242099, 621791.5426666023 3348996.31377309, 621790.2295477565 3348996.71202354, 621789.0193004903 3348997.358925275, 621787.9585774726 3348998.229504795, 621787.0880657537 3348999.290187473, 621786.4411214381 3349000.500444955, 621786.0427990381 3349001.813560232, 621785.9082826544 3349003.179270326, 621786.0427774421 3349004.544873484, 621786.4411901683 3349005.857996617, 621787.0880145074 3349007.068256613, 621787.9585631494 3349008.128936654, 621789.0193242168 3349008.99953949, 621790.2294942983 3349009.646358713, 621791.5426853671 3349010.044714544, 621792.9082691059 3349010.179190499, 621794.2739631872 3349010.04465973, 621795.5870806279 3349009.646409808, 621796.7973269941 3349008.99950882, 621797.8580497572 3349008.128930155, 621798.7285619022 3349007.06824831, 621799.375507261 3349005.857991513, 621799.7738311636 3349004.544876667, 621799.9083492788 3349003.179166686))",2022-10-10 05:00:00+00:00,Intersection
2,2,1325174.6153846155,1424946.380597015,99771.76521239942,30.2152_-97.7688,South Congress Avenue & Sheraton Avenue,"LINESTRING (618500.2688604104 3343271.741919017, 618500.1344267143 3343270.376277944, 618499.7360536457 3343269.063200745, 618499.0891768087 3343267.852952919, 618498.2186076418 3343266.792243759, 618497.157887256 3343265.921670081, 618495.9476597748 3343265.274811931, 618494.6345365068 3343264.87644689, 618493.268888178 3343264.741971997, 618491.9032182597 3343264.876499456, 618490.5901416868 3343265.274834768, 618489.3798799579 3343265.921671321, 618488.3191951613 3343266.792243893, 618487.4485915373 3343267.852963412, 618486.8017187876 3343269.063183911, 618486.4034351038 3343270.376289973, 618486.2689169458 3343271.741903846, 618486.403448588 3343273.107545739, 618486.8017256097 3343274.420732198, 618487.4486033457 3343275.630979276, 618488.3191727701 3343276.691687584, 618489.3798927318 3343277.562260429, 618490.5901191738 3343278.209117896, 618491.9032409457 3343278.607482506, 618493.2688875459 3343278.741957285, 618494.6345557724 3343278.60743005, 618495.9477271897 3343278.209096302, 618497.1578917719 3343277.562259451, 618498.2186725612 3343276.691688774, 618499.089180358 3343275.630969048, 618499.7360541455 3343274.420749231, 618500.1344367757 3343273.107533818, 618500.2688604104 3343271.741919017)",2021-12-01 06:00:00+00:00,Intersection
3,10,0.0,2128830.223140496,2128830.223140496,30.2977_-97.7089,Airport Boulevard & Aldrich Street,"LINESTRING (624148.9293424501 3352495.725839996, 624148.7948241258 3352494.360185747, 624148.3964558922 3352493.047063169, 624147.7496311616 3352491.836858454, 624146.8790211051 3352490.776072999, 624145.818306313 3352489.905546886, 624144.6080812081 3352489.258661582, 624143.2949036811 3352488.860331558, 624141.9292880906 3352488.725873046, 624140.5636932305 3352488.86031611, 624139.2504989542 3352489.25871417, 624138.0402813775 3352489.905570184, 624136.9795858311 3352490.776141437, 624136.1089983995 3352491.836860982, 624135.4621640476 3352493.047099956, 624135.0638506259 3352494.360253993, 624134.929347915 3352495.725842386, 624135.0637717674 3352497.091495316, 624135.4621414057 3352498.404617366, 624136.108967035 3352499.614821332, 624136.9795773472 3352500.67560593, 624138.0402917122 3352501.546131209, 624139.2505157699 3352502.193015828, 624140.5636917925 3352502.591345422, 624141.9293043895 3352502.725914651, 624143.2948988104 3352502.591360983, 624144.6080904208 3352502.193074278, 624145.8183083602 3352501.546108186, 624146.8790023909 3352500.675648618, 624147.7495915109 3352499.614819081, 624148.3964256499 3352498.404691618, 624148.7948367455 3352497.091539103, 624148.9293424501 3352495.725839996)",2018-05-07 05:00:00+00:00,Intersection
4,13,0.0,1820212.7685950412,1820212.7685950412,30.2760_-97.7360,Trinity Street & East 15th Street,"LINESTRING (621578.1795030611 3350039.713128105, 621578.0450023047 3350038.347526002, 621577.6467067804 3350037.034298441, 621576.9998295999 3350035.824157655, 621576.1292535892 3350034.76337902, 621575.0684842942 3350033.892791847, 621573.8583230245 3350033.245991175, 621572.5451539002 3350032.847656105, 621571.1795058966 3350032.713090434, 621569.8139427903 3350032.847644992, 621568.500761938 3350033.24602699, 621567.2905452175 3350033.892838111, 621566.2297443808 3350034.763434372, 621565.3592356952 3350035.824131738, 621564.7123714635 3350037.034401249, 621564.3140107214 3350038.347523292, 621564.1795289724 3350039.713125899, 621564.3140314268 3350041.078727778, 621564.7123283568 3350042.391954813, 621565.3592064377 3350043.602094853, 621566.2297827046 3350044.662872632, 621567.2905515722 3350045.53345897, 621568.5007117984 3350046.180258958, 621569.8138794219 3350046.578593598, 621571.1795256925 3350046.713159156, 621572.5451832914 3350046.578605892, 621573.8582653159 3350046.180334175, 621575.0684823686 3350045.533412977, 621576.1292817163 3350044.662928397, 621576.9997920608 3350043.602121038, 621577.646656102 3350042.391963038, 621578.0450195803 3350041.078730602, 621578.1795030611 3350039.713128105)",2014-07-07 05:00:00+00:00,Intersection
5,16,0.0,1769234.5577994427,1769234.5577994427,30.2641_-97.7470,South 1st Street & West Cesar Chavez Street,"LINESTRING (620536.5766093616 3348714.358024382, 620536.4421461077 3348712.992444455, 620536.0437663505 3348711.67926392, 620535.3968837791 3348710.469084549, 620534.5263876251 3348709.408289847, 620533.4655991113 3348708.537703483, 620532.2554239454 3348707.89091734, 620530.9422554133 3348707.49249497, 620529.5766262988 3348707.358067563, 620528.2110157567 3348707.49253634, 620526.8978192599 3348707.890936891, 620525.6876242633 3348708.53775513, 620524.6268854365 3348709.408342587, 620523.7562879979 3348710.469009215, 620523.1094726301 3348711.679226127, 620522.7111028843 3348712.992380175, 620522.5766483604 3348714.357988357, 620522.71111209 3348715.723678886, 620523.1094932514 3348717.036858895, 620523.7562805205 3348718.24703646, 620524.626873133 3348719.307831365, 620525.6876624445 3348720.17830607, 620526.8978353464 3348720.825202354, 620528.2110035992 3348721.223513468, 620529.5766297611 3348721.358051587, 620530.9422386048 3348721.223583034, 620532.2554336961 3348720.825183009, 620533.4656277954 3348720.178365517, 620534.5263663633 3348719.307778916, 620535.3968692456 3348718.247001234, 620536.0437818601 3348717.036786068, 620536.4420569038 3348715.723631389, 620536.5766093616 3348714.358024382)",2013-08-23 05:00:00+00:00,Intersection
6,18,0.0,1243830.7834261837,1243830.7834261837,30.2838_-97.7419,West 21st Street & Guadalupe Street,"LINESTRING (621003.9805711539 3350904.575499999, 621003.8461117619 3350903.209906404, 621003.4477854153 3350901.896699436, 621002.8009038403 3350900.686480776, 621001.9303476143 3350899.625746193, 621000.8696227447 3350898.755212474, 620999.6593377029 3350898.108359643, 620998.3462575229 3350897.709979558, 620996.9806180303 3350897.575481118, 620995.6149814324 3350897.709990867, 620994.3018317136 3350898.108326367, 620993.0916484817 3350898.75519654, 620992.0308809753 3350899.625733445, 620991.1603006469 3350900.686582435, 620990.5134524094 3350901.896771731, 620990.1150911553 3350903.209911914, 620989.98058994 3350904.575519454, 620990.1151472147 3350905.941113892, 620990.5134749676 3350907.254320335, 620991.1602612576 3350908.464537179, 620992.0308177413 3350909.525270907, 620993.0916383676 3350910.395804857, 620994.3018261844 3350911.042655937, 620995.6150010449 3350911.441036656, 620996.9806388053 3350911.575534984, 620998.3462737033 3350911.441025457, 620999.6594220182 3350911.042690485, 621000.8696043477 3350910.39582106, 621001.9303715975 3350909.525285011, 621002.8008549405 3350908.464546616, 621003.4477042238 3350907.254358005, 621003.8460682076 3350905.941107429, 621003.9805711539 3350904.575499999)",2013-10-29 05:00:00+00:00,Intersection
7,28,0.0,1949450.003481894,1949450.003481894,30.2940_-97.7079,Airport Boulevard & Zach Scott Street,"LINESTRING (624264.2121094147 3352084.841735963, 624264.0775974806 3352083.476080749, 624263.6792251465 3352082.162954742, 624263.0323859863 3352080.952744266, 624262.1618478908 3352079.89195203, 624261.1011000444 3352079.021416234, 624259.8909304809 3352078.374520903, 624258.5777063062 3352077.976178749, 624257.2121360186 3352077.841708657, 624255.8464880233 3352077.976138993, 624254.5333365529 3352078.374525846, 624253.3231636113 3352079.021371564, 624252.2623241612 3352079.891931673, 624251.3917908067 3352080.95264399, 624250.7449216213 3352082.162876695, 624250.3465819599 3352083.476026751, 624250.2121575281 3352084.841725526, 624250.3465762476 3352086.207268592, 624250.7449487251 3352087.520504899, 624251.3917887837 3352088.730714626, 624252.2623283934 3352089.791395177, 624253.3230758128 3352090.661930141, 624254.5333405037 3352091.30882588, 624255.8464670022 3352091.707166509, 624257.2121317285 3352091.841637585, 624258.5777780261 3352091.707207476, 624259.8909280909 3352091.308821147, 624261.1011001341 3352090.661976179, 624262.1618431564 3352089.791415835, 624263.0323769392 3352088.730704351, 624263.6792471705 3352087.520472332, 624264.0775883349 3352086.207322706, 624264.2121094147 3352084.841735963)",2019-06-11 05:00:00+00:00,Intersection
8,28,0.0,1949450.003481894,1949450.003481894,30.2940_-97.7079,Airport Boulevard,"LINESTRING (624264.2121094147 3352084.841735963, 624264.0775974806 3352083.476080749, 624263.6792251465 3352082.162954742, 624263.0323859863 3352080.952744266, 624262.1618478908 3352079.89195203, 624261.1011000444 3352079.021416234, 624259.8909304809 3352078.374520903, 624258.5777063062 3352077.976178749, 624257.2121360186 3352077.841708657, 624255.8464880233 3352077.976138993, 624254.5333365529 3352078.374525846, 624253.3231636113 3352079.021371564, 624252.2623241612 3352079.891931673, 624251.3917908067 3352080.95264399, 624250.7449216213 3352082.162876695, 624250.3465819599 3352083.476026751, 624250.2121575281 3352084.841725526, 624250.3465762476 3352086.207268592, 624250.7449487251 3352087.520504899, 624251.3917887837 3352088.730714626, 624252.2623283934 3352089.791395177, 624253.3230758128 3352090.661930141, 624254.5333405037 3352091.30882588, 624255.8464670022 3352091.707166509, 624257.2121317285 3352091.841637585, 624258.5777780261 3352091.707207476, 624259.8909280909 3352091.308821147, 624261.1011001341 3352090.661976179, 624262.1618431564 3352089.791415835, 624263.0323769392 3352088.730704351, 624263.6792471705 3352087.520472332, 624264.0775883349 3352086.207322706, 624264.2121094147 3352084.841735963)",2019-06-11 05:00:00+00:00,Intersection
9,32,1292226.5990990992,1539646.8749999998,247420.2759009006,30.3071_-97.7475,Shoal Creek Boulevard & West 38th Street,"LINESTRING (620434.044692115 3353476.409534127, 620433.9102110723 3353475.043944023, 620433.5118316743 3353473.730751338, 620432.8649601566 3353472.520558223, 620431.9943768483 3353471.459858361, 620430.9336787789 3353470.589257357, 620429.7234636336 3353469.942455139, 620428.4102964329 3353469.544017751, 620427.044687708 3353469.409576721, 620425.6789974984 3353469.544032483, 620424.3658869872 3353469.942424027, 620423.1557294755 3353470.589235286, 620422.0949597388 3353471.459817857, 620421.224436839 3353472.520594623, 620420.5775013402 3353473.730811765, 620420.1791901385 3353475.043971035, 620420.0446783344 3353476.409586004, 620420.1791610774 3353477.775175882, 620420.5775418832 3353479.088368042, 620421.2244143009 3353480.298560407, 620422.0949017064 3353481.359258353, 620423.1556955113 3353482.229859584, 620424.3659096125 3353482.876661117, 620425.6790753097 3353483.275098071, 620427.0446823009 3353483.409538989, 620428.410274649 3353483.275082389, 620429.7234799134 3353482.876692432, 620430.9336365238 3353482.229881919, 620431.9944060034 3353481.359300207, 620432.8649293291 3353480.298524276, 620433.511865872 3353479.088307821, 620433.9101785771 3353477.775148982, 620434.044692115 3353476.409534127)",2020-07-15 05:00:00+00:00,Intersection
