moped_component_id,pre_completion,post_completion
1,48.0,3.0
2,108.0,9.0
3,65.0,8.0
4,214.0,25.0
5,72.0,13.0
7,12.0,0.0
9,21.0,6.0
10,6.0,0.0
13,0.0,1.0
14,2.0,0.0
15,2.0,0.0
17,1.0,0.0
18,48.0,0.0
19,44.0,0.0
22,27.0,1.0
23,2.0,0.0
25,4.0,0.0
28,31.0,2.0
29,3.0,0.0
30,2.0,0.0
31,38.0,7.0
32,1.0,0.0
34,15.0,1.0
35,2.0,0.0
36,2.0,0.0
40,1.0,0.0
41,1.0,0.0
42,3.0,1.0
43,29.0,1.0
44,1.0,0.0
45,19.0,1.0
47,0.0,1.0
48,28.0,3.0
49,2.0,0.0
50,1.0,0.0
51,74.0,10.0
52,5.0,1.0
54,1.0,0.0
55,4.0,2.0
56,228.0,64.0
57,397.0,69.0
58,48.0,7.0
59,11.0,3.0
60,2.0,0.0
61,1.0,0.0
62,3.0,0.0
64,1.0,0.0
65,2.0,0.0
66,5.0,0.0
69,2.0,0.0
70,639.0,32.0
71,19.0,0.0
72,19.0,0.0
73,19.0,0.0
74,74.0,16.0
75,74.0,17.0
76,74.0,17.0
78,3.0,0.0
79,45.0,7.0
81,22.0,0.0
82,73.0,1.0
83,86.0,7.0
84,98.0,7.0
85,554.0,27.0
86,10.0,0.0
87,9.0,0.0
88,9.0,0.0
89,1.0,0.0
90,1.0,0.0
91,1.0,1.0
92,1.0,0.0
93,2.0,0.0
94,105.0,12.0
95,190.0,18.0
96,9.0,0.0
97,19.0,0.0
98,127.0,0.0
99,3.0,0.0
100,426.0,4.0
101,444.0,4.0
102,1.0,0.0
103,4.0,0.0
105,266.0,32.0
107,28.0,3.0
108,8.0,0.0
110,2.0,0.0
111,8.0,0.0
112,1.0,0.0
113,372.0,9.0
114,21.0,1.0
115,92.0,1.0
116,1.0,0.0
117,10.0,0.0
118,1.0,0.0
119,1.0,0.0
120,7.0,1.0
121,1.0,0.0
123,2.0,0.0
124,1.0,0.0
125,9.0,1.0
126,11.0,0.0
128,2.0,1.0
129,8.0,0.0
130,49.0,2.0
