moped_component_id,substantial_completion_date,pre_annualized_crash_rate,post_annualized_crash_rate,delta_crash_rate,pre_annualized_fatal_crash_rate,post_annualized_fatal_crash_rate,delta_fatal_crash_rate,pre_annualized_injury_rate,post_annualized_injury_rate,delta_injury_rate,pre_annualized_death_rate,post_annualized_death_rate,delta_death_rate,pre_annualized_cost,post_annualized_cost,delta_comp_cost
2,2022-10-10 05:00:00+00:00,0.11953690698594086,NA,NA,0.0,NA,NA,0.03984563566198029,NA,NA,0.0,NA,NA,17412.542784285386,NA,NA
3,2022-10-10 05:00:00+00:00,0.16799218106207242,NA,NA,0.0,NA,NA,0.11199478737471495,NA,NA,0.0,NA,NA,156960.694505663,NA,NA
4,2022-10-10 05:00:00+00:00,0.15978775832155412,0.7367005630725272,0.5769128047509731,0.0,0.0,0.0,0.03631539961853503,0.7367005630725272,0.7003851634539922,0.0,0.0,0.0,45437.82800271102,171651.23119589884,126213.40319318781
5,2022-10-10 05:00:00+00:00,0.15799515421791602,0.7367005630725272,0.5787054088546112,0.0,0.0,0.0,0.022570736316845145,0.7367005630725272,0.714129826755682,0.0,0.0,0.0,30583.34770932517,171651.23119589884,141067.88348657367
7,2024-02-20 06:00:00+00:00,0.1361920298298765,NA,NA,0.0,NA,NA,0.0851200186436728,NA,NA,0.0,NA,NA,31988.10300629224,NA,NA
8,2021-12-31 06:00:00+00:00,0.1787068522641094,0.5234682909351487,0.34476143867103926,0.0,0.0,0.0,0.16083616703769846,0.5234682909351487,0.36263212389745025,0.0,0.0,0.0,57525.73574381682,148664.99462558224,91139.25888176542
9,2021-12-31 06:00:00+00:00,0.16412184057031756,0.6754507628294036,0.5113289222590861,0.0,0.0,0.0,0.1073104342190538,0.5403606102635229,0.4330501760444691,0.0,0.0,0.0,39168.30848995464,167241.60887656035,128073.30038660571
10,2021-12-31 06:00:00+00:00,0.34875258869297615,0.7166058095809036,0.36785322088792743,0.0,0.0,0.0,0.2733466235701705,0.4777372063872691,0.2043905828170986,0.0,0.0,0.0,159577.87369113747,188467.32791977766,28889.454228640185
11,2022-03-31 05:00:00+00:00,0.22697496180834265,NA,NA,0.0,NA,NA,0.05674374045208566,NA,NA,0.0,NA,NA,36372.737629786905,NA,NA
12,2024-04-01 05:00:00+00:00,0.15279268332158874,NA,NA,0.0,NA,NA,0.06548257856639517,NA,NA,0.0,NA,NA,25276.275326628536,NA,NA
13,2021-12-31 06:00:00+00:00,0.22668735453840186,NA,NA,0.0,NA,NA,0.1700155159038014,NA,NA,0.0,NA,NA,54064.93405740884,NA,NA
14,2023-04-13 05:00:00+00:00,0.12040381841906461,NA,NA,0.0,NA,NA,0.12040381841906461,NA,NA,0.0,NA,NA,34194.68443101435,NA,NA
15,2022-03-01 06:00:00+00:00,0.11660946603879,1.020964360587002,0.904354894548212,0.0,0.0,0.0,0.0,1.020964360587002,1.020964360587002,0.0,0.0,0.0,11894.16553595658,315988.46960167715,304094.3040657206
16,2024-02-20 06:00:00+00:00,0.11892551892551892,NA,NA,0.0,NA,NA,0.11892551892551892,NA,NA,0.0,NA,NA,27709.645909645908,NA,NA
17,2022-04-14 05:00:00+00:00,0.1786099961286905,0.7084781378808696,0.5298681417521791,0.0,0.0,0.0,0.13395749709651786,0.7970379051159783,0.6630804080194604,0.0,0.0,0.0,50948.50139570896,451389.13359734905,400440.6322016401
18,2024-06-18 05:00:00+00:00,0.11633246187942087,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,11865.911111700929,NA,NA
20,2022-08-26 05:00:00+00:00,1.070460373671999,0.6399007226804876,-0.4305596509915115,0.0,0.0,0.0,0.0,0.6399007226804876,0.6399007226804876,0.0,0.0,0.0,109186.9581145439,181731.8052412585,72544.8471267146
22,2023-01-25 06:00:00+00:00,0.1670610173367696,1.1766442953020135,1.0095832779652438,0.012850847487443815,0.0,-0.012850847487443815,0.21846440728654487,1.5688590604026846,1.3503946531161397,0.012850847487443815,0.0,-0.012850847487443815,106263.65787367291,445555.97315436247,339292.31528068957
23,2023-10-03 05:00:00+00:00,0.15168976794891761,13.142428785607198,12.99073901765828,0.0,0.0,0.0,0.15168976794891761,0.0,-0.15168976794891761,0.0,0.0,0.0,156088.77121943625,1340527.7361319342,1184438.964912498
24,2022-03-31 05:00:00+00:00,1.2126158528150506,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,123686.81698713516,NA,NA
25,2022-07-21 05:00:00+00:00,0.12060863420033896,0.6286124058802438,0.5080037716799048,0.0,0.0,0.0,0.08771537032751925,0.0,-0.08771537032751925,0.0,0.0,0.0,34417.31843226036,88162.8899247042,53745.571492443836
26,2021-12-31 06:00:00+00:00,0.2042499650496295,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,31250.244652593316,NA,NA
27,2022-03-31 05:00:00+00:00,0.11568764599527537,NA,NA,0.0,NA,NA,0.46275058398110147,NA,NA,0.0,NA,NA,348682.56502975995,NA,NA
28,2023-07-29 05:00:00+00:00,0.17934815966610065,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,18293.512285942266,NA,NA
29,2023-05-31 05:00:00+00:00,0.1502663123997502,NA,NA,0.0,NA,NA,0.12164415765694064,NA,NA,0.0,NA,NA,87998.814756768,NA,NA
31,2022-08-26 05:00:00+00:00,0.1724198973269605,16.760994263862333,16.588574366535372,0.0,0.0,0.0,0.02873664955449342,0.0,-0.02873664955449342,0.0,0.0,0.0,30144.745382663597,3419242.829827916,3389098.084445252
32,2021-08-24 05:00:00+00:00,0.1467727082461281,NA,NA,0.0,NA,NA,0.048924236082042695,NA,NA,0.0,NA,NA,21379.89116785266,NA,NA
34,2022-07-12 05:00:00+00:00,0.10277513981217684,NA,NA,0.0,NA,NA,0.10277513981217684,NA,NA,0.0,NA,NA,30935.31708346523,NA,NA
36,2022-10-05 05:00:00+00:00,0.10314275965124899,1.6580291280499337,1.5548863683986847,0.01719045994187483,0.0,-0.01719045994187483,0.05157137982562449,0.8290145640249669,0.7774431841993423,0.01719045994187483,0.0,-0.01719045994187483,66784.93687418371,319999.6217136372,253214.6848394535
41,2022-10-18 05:00:00+00:00,0.11007446287529665,NA,NA,0.0,NA,NA,0.11007446287529665,NA,NA,0.0,NA,NA,31261.14745658425,NA,NA
43,2021-12-16 06:00:00+00:00,0.17298538918752515,NA,NA,0.0,NA,NA,0.17298538918752515,NA,NA,0.0,NA,NA,54421.203438395416,NA,NA
45,2024-02-20 06:00:00+00:00,0.17754283631060883,NA,NA,0.0,NA,NA,0.08877141815530441,NA,NA,0.0,NA,NA,38793.10973386803,NA,NA
46,2021-04-20 05:00:00+00:00,0.19378628242482657,0.46324578555197377,0.26945950312714717,0.0,0.0,0.0,0.07751451296993063,0.30883052370131586,0.23131601073138525,0.0,0.0,0.0,124449.55057322362,119208.58214870792,-5240.968424515697
48,2023-04-01 05:00:00+00:00,0.14914199965292074,0.9516881988926283,0.8025461992397076,0.0,0.0,0.0,0.08948519979175244,0.9516881988926283,0.8622029991008759,0.0,0.0,0.0,39105.03230899582,270279.44848550647,231174.41617651065
49,2021-06-28 05:00:00+00:00,0.23041135497437246,1.145732583975951,0.9153212290015784,0.0,0.0,0.0,0.18432908397949796,0.0,-0.18432908397949796,0.0,0.0,0.0,71151.02641608621,58432.36178277349,-12718.664633312721
51,2022-03-31 05:00:00+00:00,0.2138205234529356,NA,NA,0.0,NA,NA,0.14254701563529038,NA,NA,0.0,NA,NA,47753.25023782228,NA,NA
52,2022-09-18 05:00:00+00:00,0.2194737237425202,0.9370390165686797,0.7175652928261596,0.0,0.0,0.0,0.1097368618712601,1.8740780331373594,1.7643411712660992,0.0,0.0,0.0,59148.168548609196,627816.1411010154,568667.9725524061
54,2022-04-23 05:00:00+00:00,0.19478577754640136,0.9604470253095212,0.7656612477631198,0.0,0.0,0.0,0.08347961894845772,0.9604470253095212,0.8769674063610635,0.0,0.0,0.0,37899.747002599805,321749.7534786896,283850.00647608977
55,2022-04-23 05:00:00+00:00,0.11732269764578342,0.634344019104132,0.5170213214583486,0.0,0.0,0.0,0.17598404646867513,0.634344019104132,0.4583599726354568,0.0,0.0,0.0,184079.31260623416,180153.70142557347,-3925.611180660693
56,2022-04-23 05:00:00+00:00,0.19417034394104374,0.886147068682064,0.6919767247410203,0.0,0.0,0.0,0.1511276568605168,0.49748607364607106,0.34635841678555424,0.0,0.0,0.0,79256.89098176762,202336.91401573797,123080.02303397036
57,2022-03-25 05:00:00+00:00,0.11782733174724787,NA,NA,0.0,NA,NA,0.1571031089963305,NA,NA,0.0,NA,NA,46620.34759466108,NA,NA
58,2022-03-25 05:00:00+00:00,0.13125230208093142,NA,NA,0.0,NA,NA,0.07875138124855885,NA,NA,0.0,NA,NA,34414.35360562022,NA,NA
59,2022-03-25 05:00:00+00:00,0.16101359362067272,0.9089694106803388,0.7479558170596661,0.0022132452731363945,0.0,-0.0022132452731363945,0.15271392384641122,0.8248055763580852,0.6720916525116739,0.0022132452731363945,0.0,-0.0022132452731363945,82920.3407806916,434521.0438389308,351600.7030582392
60,2024-02-20 06:00:00+00:00,0.14807932700429066,NA,NA,0.0,NA,NA,0.04935977566809689,NA,NA,0.0,NA,NA,39191.66188046893,NA,NA
61,2023-04-11 05:00:00+00:00,0.1965603067470906,NA,NA,0.0,NA,NA,0.1965603067470906,NA,NA,0.0,NA,NA,53316.98320514833,NA,NA
